Date,Receipt Number,Line Type,Customer Code,Customer Name,Note,Quantity,Subtotal,Sales Tax,Discount,Loyalty,Total,Paid,Details,Register,User,Status,Sku,AccountCodeSale,AccountCodePurchase,State,Attributes
2026-05-24 11:44:06,575,Sale,WALKIN,,,2,89.98,8.32,0.00000,0.00000,98.3,,1 X Red Halter Bra / Size S + 1 X VintagePamelaF/RedStitchSkirt/Size6,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-24 11:44:06,575,Sale Line,,,,1.00000,13.99000,1.29408,0.00000,0.00000,15.28408,,Red Halter Bra / Size S,,,,10008164,,,,
2026-05-24 11:44:06,575,Sale Line,,,,1.00000,75.99000,7.02908,0.00000,0.00000,83.01908,,VintagePamelaF/RedStitchSkirt/Size6,,,,10008546,,,,
2026-05-24 11:43:59,575,Payment,,,,,,,,,,98.30000,Lightspeed Payments,,,,,,,,
2026-05-24 11:08:22,574,Sale,WALKIN,,,2,48.98,4.53,0.00000,0.00000,53.51,,1 X Maurizio Floral Long Clutch + 1 X Grey Kiss Tee/Size S,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-24 11:08:22,574,Sale Line,,,,1.00000,22.99000,2.12658,0.00000,0.00000,25.11658,,Maurizio Floral Long Clutch,,,,10004532,,,,
2026-05-24 11:08:22,574,Sale Line,,,,1.00000,25.99000,2.40408,0.00000,0.00000,28.39408,,Grey Kiss Tee/Size S,,,,10004121,,,,
2026-05-24 11:08:11,574,Payment,,,,,,,,,,53.51000,Lightspeed Payments,,,,,,,,
2026-05-23 19:44:15,573,Sale,WALKIN,,,1,14.99,1.39,0.00000,0.00000,16.38,,1 X Unknown White Camisole Size M,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 19:44:15,573,Sale Line,,,,1.00000,14.99000,1.38658,0.00000,0.00000,16.37658,,Unknown White Camisole Size M,,,,10003375,,,,
2026-05-23 19:44:10,573,Payment,,,,,,,,,,16.38000,Lightspeed Payments,,,,,,,,
2026-05-23 19:43:36,572,Sale,WALKIN,,,1,12.99,1.20,0.00000,0.00000,14.19,,1 X Black lace coverall  OSFM,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 19:43:36,572,Sale Line,,,,1.00000,12.99000,1.20158,0.00000,0.00000,14.19158,,Black lace coverall  OSFM,,,,10008666,,,,
2026-05-23 19:43:30,572,Payment,,,,,,,,,,14.19000,Lightspeed Payments,,,,,,,,
2026-05-23 16:13:56,571,Sale,WALKIN,,,3,45.96,4.25,0.00000,0.00000,50.21,,1 X SilverGoldBracelet + 1 X HelloFranki/Blue&WhiTop/SizeL + 1 X JacquelineF/BrownCrossBag + 1 X Abercrombie/GryTanHalterTop/SizeM + -1 X Discount,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 16:13:56,571,Sale Line,,,,1.00000,10.99000,1.01658,0.00000,0.00000,12.00658,,SilverGoldBracelet,,,,10008605,,,,
2026-05-23 16:13:56,571,Sale Line,,,,1.00000,14.99000,1.38658,0.00000,0.00000,16.37658,,HelloFranki/Blue&WhiTop/SizeL,,,,10008292,,,,
2026-05-23 16:13:56,571,Sale Line,,,,1.00000,7.99000,0.73908,0.00000,0.00000,8.72908,,JacquelineF/BrownCrossBag,,,,10008316,,,,
2026-05-23 16:13:56,571,Sale Line,,,,1.00000,14.99000,1.38658,0.00000,0.00000,16.37658,,Abercrombie/GryTanHalterTop/SizeM,,,,10008337,,,,
2026-05-23 16:13:56,571,Sale Line,,,,-1.00000,-3.00000,-0.27750,0.00000,0.00000,-3.27750,,Discount,,,,vend-discount,,,,
2026-05-23 16:13:34,571,Payment,,,,,,,,,,50.21000,Lightspeed Payments,,,,,,,,
2026-05-23 16:11:46,570,Sale,WALKIN,,,0,15.99,1.48,0.00000,0.00000,17.47,,1 X Sonoma RWB Woven Purse + -1 X Discount,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 16:11:46,570,Sale Line,,,,1.00000,18.99000,1.75658,0.00000,0.00000,20.74658,,Sonoma RWB Woven Purse,,,,10007934,,,,
2026-05-23 16:11:46,570,Sale Line,,,,-1.00000,-3.00000,-0.27750,0.00000,0.00000,-3.27750,,Discount,,,,vend-discount,,,,
2026-05-23 16:11:38,570,Payment,,,,,,,,,,17.47000,Lightspeed Payments,,,,,,,,
2026-05-23 16:03:32,569,Sale,WALKIN,,,1,12.99,1.20,0.00000,0.00000,14.19,,1 X Ande Black Purse Gold Hardware,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 16:03:32,569,Sale Line,,,,1.00000,12.99000,1.20158,0.00000,0.00000,14.19158,,Ande Black Purse Gold Hardware,,,,10007928,,,,
2026-05-23 16:03:25,569,Payment,,,,,,,,,,14.19000,Lightspeed Payments,,,,,,,,
2026-05-23 15:06:50,568,Sale,WALKIN,,,1,55.99,5.18,0.00000,0.00000,61.17,,1 X Mystree/BrwnStripeSweater/SizeS,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 15:06:50,568,Sale Line,,,,1.00000,55.99000,5.17908,0.00000,0.00000,61.16908,,Mystree/BrwnStripeSweater/SizeS,,,,10006011,,,,
2026-05-23 15:06:43,568,Payment,,,,,,,,,,61.17000,Lightspeed Payments,,,,,,,,
2026-05-23 15:05:01,567,Sale,WALKIN,,,4,88.96,8.23,0.00000,0.00000,97.19,,1 X Ann Taylor Yellow/White Top S + 1 X eyeshadow creme lace vest/s + 1 X EM Mustard Yellow Top/Size S + 1 X Multicolor Bead Earrings,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 15:05:01,567,Sale Line,,,,1.00000,24.99000,2.31158,0.00000,0.00000,27.30158,,Ann Taylor Yellow/White Top S,,,,10008470,,,,
2026-05-23 15:05:01,567,Sale Line,,,,1.00000,18.99000,1.75658,0.00000,0.00000,20.74658,,eyeshadow creme lace vest/s,,,,10008140,,,,
2026-05-23 15:05:01,567,Sale Line,,,,1.00000,24.99000,2.31158,0.00000,0.00000,27.30158,,EM Mustard Yellow Top/Size S,,,,10005828,,,,
2026-05-23 15:05:01,567,Sale Line,,,,1.00000,19.99000,1.84908,0.00000,0.00000,21.83908,,Multicolor Bead Earrings,,,,10008433,,,,
2026-05-23 15:04:55,567,Payment,,,,,,,,,,97.19000,Lightspeed Payments,,,,,,,,
2026-05-23 14:58:34,566,Sale,WALKIN,,,1,32.99,3.05,0.00000,0.00000,36.04,,1 X R & K Yellow Pant Top Set / Size 10,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 14:58:34,566,Sale Line,,,,1.00000,32.99000,3.05158,0.00000,0.00000,36.04158,,R & K Yellow Pant Top Set / Size 10,,,,10007718,,,,
2026-05-23 14:58:25,566,Payment,,,,,,,,,,36.04000,Lightspeed Payments,,,,,,,,
2026-05-23 12:57:52,565,Sale,WALKIN,,,1,21.99,2.03,0.00000,0.00000,24.02,,1 X FP One Cami Dress Size XS,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 12:57:52,565,Sale Line,,,,1.00000,21.99000,2.03408,0.00000,0.00000,24.02408,,FP One Cami Dress Size XS,,,,10007285,,,,
2026-05-23 12:57:42,565,Payment,,,,,,,,,,24.02000,Lightspeed Payments,,,,,,,,
2026-05-23 12:50:54,564,Sale,WALKIN,,,1,24.99,2.31,0.00000,0.00000,27.3,,1 X MulicolStripSweater/SizeM,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 12:50:54,564,Sale Line,,,,1.00000,24.99000,2.31158,0.00000,0.00000,27.30158,,MulicolStripSweater/SizeM,,,,10008566,,,,
2026-05-23 12:50:41,564,Payment,,,,,,,,,,27.30000,Lightspeed Payments,,,,,,,,
2026-05-23 12:39:14,563,Sale,WALKIN,,,1,29.99,2.77,0.00000,0.00000,32.76,,1 X cpck&cash/rvs bmb jkt/blk/m,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 12:39:14,563,Sale Line,,,,1.00000,29.99000,2.77408,0.00000,0.00000,32.76408,,cpck&cash/rvs bmb jkt/blk/m,,,,10003735,,,,
2026-05-23 12:38:54,563,Payment,,,,,,,,,,32.76000,Lightspeed Payments,,,,,,,,
2026-05-23 12:08:29,562,Sale,Devin-79HF,Devin Karnblum,,1,200.00,18.50,0.00000,0.00000,218.5,,1 X Desigual/RedPatternJacket/Size40/US6,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-23 12:08:29,562,Sale Line,,,,1.00000,200.00000,18.50000,0.00000,0.00000,218.50000,,Desigual/RedPatternJacket/Size40/US6,,,,10007595,,,,
2026-05-23 12:08:29,562,Payment,,,,,,,,,,218.50000,Store Credit,,,,,,,,
2026-05-22 19:34:09,560,Sale,WALKIN,,Lee,3,77.97,7.21,0.00000,0.00000,85.18,,1 X AsosDesign/PnkOrFloralSkirt/Size2 + 1 X Reformed B & W Floral Skirt / Size 6 + 1 X Fossil/PinkDotDress/SizeXS,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-22 19:34:09,560,Sale Line,,,,1.00000,28.99000,2.68158,0.00000,0.00000,31.67158,,AsosDesign/PnkOrFloralSkirt/Size2,,,,10008548,,,,
2026-05-22 19:34:09,560,Sale Line,,,,1.00000,19.99000,1.84908,0.00000,0.00000,21.83908,,Reformed B & W Floral Skirt / Size 6,,,,10008172,,,,
2026-05-22 19:34:09,560,Sale Line,,,,1.00000,28.99000,2.68158,0.00000,0.00000,31.67158,,Fossil/PinkDotDress/SizeXS,,,,10007751,,,,
2026-05-22 19:34:02,560,Payment,,,,,,,,,,85.18000,Lightspeed Payments,,,,,,,,
2026-05-22 19:33:14,561,Sale,WALKIN,,,2,59.98,5.55,0.00000,0.00000,65.53,,1 X Paul McCartneyTee Shirt_SO + 1 X BrooksBros/StripeCollarDress/SizeL,POS 2,tomderobe@gmail.com,CLOSED,,,,closed,
2026-05-22 19:33:14,561,Sale Line,,,,1.00000,29.99000,2.77408,0.00000,0.00000,32.76408,,Paul McCartneyTee Shirt_SO / White / L / 13.01,,,,10002392,,,,
2026-05-22 19:33:14,561,Sale Line,,,,1.00000,29.99000,2.77408,0.00000,0.00000,32.76408,,BrooksBros/StripeCollarDress/SizeL,,,,10008328,,,,
