Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,Closing Inventory,Revenue,Inventory Cost
&merci/blouse/brgndy/M,10004872,,&merci,,,,1,0,0
1 State Pink LS Sheer Pattern / Size M,10004993,,1. State,,,,1,0,0
1. State Leopard Print Dress,10007204,,,,,,0,21.99,0
100005553,10006616,,,,,,-1,34.99,0
10002312,10008085,,,,,,-1,18.99,0
10003259,10005795,,,,,,0,0,0
10003277,10005798,,,,,,0,0,0
10003884,10005996,,,,,,-1,24.99,0
10003992,10005796,,,,,,-1,11.77143,0
10005204,10005900,,,,,,-1,13.99,0
10007212,10007213,,,,,,-1,22.99,0
12th Tribe White Sequin Jacket / Size M,10003950,,12th Tribe,,,,0,69.99,0
1822 Denim Blk Jean/Size 10,10003830,,1822 Denim,,,,1,0,0
1883 Teal and Brown Cowgirl Boots / Size 7.5,10003761,,1883 by Luccheen,,,,0,185,0
1950sCaroAuroraBrac&earrSET,10007377,,unknown,,,,1,0,0
21Saints/ Ruche Blouse/ Blk/ Size M,10005144,,21 Saints,,,,1,0,0
2pc Sophia Pajama Set L,10008678,,,,,,1,0,7
2to-Ky/ SquarePattern Top/ Prpl&Bl/ Size L,10005181,,2to-Ky,,,,1,0,0
3 Suiesses Red Spaghetti Strap Dress / Size L,10004617,,3 Suiesses Collection,,,,1,0,0
32 D Purple Puffer Jacket / Size M,10003876,,32 Degreees,,,,1,0,0
41 Hawthorm Purple Polka Dot SL / Size S,10004213,,41 Hawthorn,,,,1,0,0
514 slim straight dark jean,10006423,,Levi Strauss X Co,,,,1,0,0
5a7/jns/dnm/2,10004883,,5a7,,,,0,45.99,0
7 FAM Black Jeans / Size 28,10004336,,7 For All Mankind,,,,1,0,0
7 FAMK Skinny Jeans / Size 27,10003794,,7 For All Mankind,,,,1,0,0
7 For all Mankind Black Skirt / Size 32,10005698,,7 For All Mankind,,,,1,0,0
7 For all Mankind Blue Ombre SL Top / Size M,10006987,,7 for all mandkind,,,,1,0,0
7 for All Mankind Jacket Pink Size XS,10003524,,7 For All Mankind,,,,1,0,0
7 for Mankind Brown Leather Jacket S,10007510,,,,,,1,0,24.99
7th Avenue B & W Checkered Skirt / Size 12,10005712,,7th Avenue Design,,,,1,0,0
7th Avenue Bright Red Shorts / Size 12,10007582,,7th Avenue Design,,,,1,0,0
89th & Madi Yellow LS Design Top / Size M,10006607,,89th X Madison,,,,1,0,0
89th & madison/swtr/gry/m,10004684,,89th X Madison,,,,1,0,0
8byYook/BlueTieTop/Size40,10008356,,8 by Yook,,,,0,14.99,0
90's Vintage Floral Satin Cami M,10008804,,,,,,1,0,7.5
A Beautiful Soul Blush & Black Dress / XL,10004609,,A Beautiful Soul,,,,0,25.99,0
A Byer Pink Floral Ruffle SL Top / Size S,10005195,,A. Byer,,,,1,0,0
A Father's Love Orange Skirt Size S,10007552,,,,,,0,19,0
A New Day Black & White Dress / Size M,10004616,,A New Day,,,,1,0,0
A New Day Black SL Dress / Size L,10007473,,A New Day,,,,0,17.99,0
A New Day Black Slip NWT / Size M,10003937,,A New Day,,,,1,0,0
A New Day Black Top Size XS,10007267,,,,,,1,0,0
A New Day Kelsey Rhinestone Slides 8,10007660,,,,,,1,0,12
A New Day Purple Tank / Size M,10006539,,A New Day,,,,1,0,0
A New DayTank Top_Ra,10002227,,A New Day,,,,1,0,0
A'gaci Floral Halter Top M,10008618,,,,,,1,0,3.25
A'nye Ligne White LS / Size L,10006974,,Iaxnue Ligne,,,,1,0,0
A.N.A. Purple Sleeveless Top M,10008211,,,,,,1,0,6
ABSOLIUTELY Sweater,10003191,,Absolutely,,,,1,0,0
AC DCTee Shirt_Ne,10002161,,AC DC,,,,0,12.99,0
ACDC Sleeveless Tee,10001104,,AC DC,,,,1,0,0
AFRM Black Sheer Floral SS / Size XS,10005189,,AFRM,,,,0,23.99,0
AFRM White Floral Skirt / Size 29,10007706,,AFRM,,,,1,0,0
AGB Black Dress / Size 6,10004631,,AGB,,,,1,0,0
AK/swtr/pnk/xL,10005814,,Ann Klein,,,,1,0,0
AND Beige Chiffon LS Top / Size 8,10006292,,AND,,,,0,27.99,0
ANewDay/WhiSequinDress/SizeM,10005419,,A New Day,,,,1,0,0
AS IS Bed of Roses Black Heart Cherry Tank / Size L,10005104,,Bed of Roses,,,,1,0,0
AS IS Missguided Gold Pants/Size 2,10005823,,Missguided,,,,1,0,0
AS IS Ralph Lauren Booties / Size 9.5,10004793,,Lauren Ralph Lauren,,,,1,0,0
AS IS Vintage Pink Dress w Scarf / Size 10,10007768,,,,,,1,0,245
ASISBCBG Beige Embroid Buttondown / Size S,10006512,,BCBG Maxazria,,,,0,24.99,0
ASISSuprDwn/SequinOneslDress/SizeS,10008579,,SuperDown,,,,1,0,8
ASOS/StripedTubeTop/SizeL,10006095,,Asos Design,,,,1,0,0
ASTR Beige LS Top Size M,10007271,,,,,,1,0,0
ASTR White Dress / Size M,10007337,,ASTR,,,,0,32.99,0
ATLoft/BrwnStripeCrdign/SizeXS,10005329,,Ann Taylor Loft,,,,1,0,0
AUW Blue Camisole Size L,10008238,,,,,,0,26,0
AW Bridal Floral Dress/Size 20,10003973,,AW Bridal,,,,1,0,0
AbeltLabel/WhiGreenDress/SizeXS,10008584,,Abel the Label,,,,1,0,8
AbercmxFitch/BrwnBowTop/SizeM,10006357,,Abercrombie X Fitch,,,,0,21.99,0
Abercombie/BluGrnSwter/SizeXS,10006005,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F Beige Satin Crop Top / Size M,10007791,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F Black SL Dress / Size M,10007475,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F Black White Floral LS / Size L,10005629,,Abercrombie X Fitch,,,,0,24.99,0
Abercrombie & F Blue Cardigan / Size XS,10005880,,Abercrombie X Fitch,,,,0,31.99,0
Abercrombie & F Blue Crop Cardigan / Size XS,10005967,,Abercrombie X Fitch,,,,0,24.99,0
Abercrombie & F Brown Faded Jeans / Size 14,10005691,,Abercrombie X Fitch,,,,1,0,0
Abercrombie & F Gray Cardigan / Size XL,10005571,,Abercrombie X Fitch,,,,1,0,0
