category,units_sold,transactions,total_revenue,avg_price,min_price_sold,max_price_sold,revenue_share_pct
Top,574,341,13165.54,22.94,7.99,99.99,24.7
Accessories,221,174,8813.13,39.89,5.99,350.0,16.5
Other,272,211,8411.59,30.44,7.99,450.0,15.8
Dress,238,183,7498.73,31.51,12.99,135.0,14.1
Skirt,130,106,3474.75,26.73,10.99,75.99,6.5
Jacket/Coat,58,50,3130.51,53.97,19.99,200.0,5.9
Jeans/Pants,90,77,2723.13,30.26,12.99,85.99,5.1
Shoes,45,44,2330.57,51.79,10.99,224.99,4.4
Sweater/Cardigan,77,67,1931.07,25.52,13.99,74.99,3.6
Shorts,32,31,701.69,21.93,11.99,58.99,1.3
Romper/Jumpsuit,17,16,615.84,36.23,14.99,69.99,1.2
Set,17,17,487.83,28.7,14.99,59.99,0.9
