date,day_of_week,month,week_num,transactions,units_sold,daily_subtotal,daily_total,rolling_7day_avg_revenue,rolling_7day_avg_units
2026-02-13,Friday,2,7,7,8,195.92,214.04,214.04,8.0
2026-02-14,Saturday,2,7,27,47,1655.54,1808.68,1011.36,27.5
2026-02-15,Sunday,2,7,4,6,148.85,162.62,728.45,20.3
2026-02-17,Tuesday,2,8,5,7,156.43,170.9,589.06,17.0
2026-02-18,Wednesday,2,8,3,4,633.98,692.62,609.77,14.4
2026-02-19,Thursday,2,8,8,13,370.58,404.85,575.62,14.2
2026-02-20,Friday,2,8,12,24,641.77,701.14,593.55,15.6
2026-02-21,Saturday,2,8,29,56,1767.6,1931.1,838.84,22.4
2026-02-22,Sunday,2,8,6,10,181.9,198.73,608.85,17.1
2026-02-25,Wednesday,2,9,2,5,127.95,139.79,605.59,17.0
2026-02-26,Thursday,2,9,6,13,326.87,357.11,632.19,17.9
2026-02-27,Friday,2,9,8,15,405.86,443.4,596.59,19.4
2026-02-28,Saturday,2,9,32,50,1287.51,1406.6,739.7,24.7
2026-03-01,Sunday,3,9,19,33,1411.23,1541.77,859.79,26.0
2026-03-04,Wednesday,3,10,14,19,649.83,709.94,685.33,20.7
2026-03-05,Thursday,3,10,5,9,243.91,266.47,695.01,20.6
2026-03-06,Friday,3,10,25,36,968.65,1058.25,826.22,25.0
2026-03-07,Saturday,3,10,18,34,1126.69,1230.91,951.05,28.0
2026-03-08,Sunday,3,10,9,14,364.86,398.61,944.65,27.9
2026-03-11,Wednesday,3,11,7,14,602.88,658.65,837.8,22.7
2026-03-12,Thursday,3,11,7,14,308.86,337.43,665.75,20.0
2026-03-13,Friday,3,11,5,6,159.94,174.73,589.29,18.1
2026-03-14,Saturday,3,11,15,27,682.73,745.88,657.78,20.7
2026-03-15,Sunday,3,11,13,22,504.78,551.47,585.38,18.7
2026-03-18,Wednesday,3,12,7,11,256.89,280.65,449.63,15.4
2026-03-19,Thursday,3,12,4,18,482.82,527.48,468.04,16.0
2026-03-20,Friday,3,12,17,27,1227.75,1341.32,565.57,17.9
2026-03-21,Saturday,3,12,22,41,1178.61,1287.63,701.31,21.7
2026-03-22,Sunday,3,12,10,15,363.86,397.52,733.14,23.0
2026-03-25,Wednesday,3,13,5,11,307.89,336.37,674.63,20.7
2026-03-26,Thursday,3,13,32,60,2016.45,2202.97,910.56,26.1
2026-03-27,Friday,3,13,34,56,1582.92,1729.34,1117.52,32.6
2026-03-28,Saturday,3,13,45,71,2911.35,3180.65,1496.54,40.1
2026-03-29,Sunday,3,13,25,39,951.61,1039.63,1453.44,41.9
2026-04-01,Wednesday,4,14,10,20,437.8,478.3,1337.83,38.9
2026-04-02,Thursday,4,14,7,13,467.89,511.17,1354.06,38.6
2026-04-03,Friday,4,14,23,33,767.72,838.73,1425.83,41.7
2026-04-04,Saturday,4,14,25,44,1079.6,1179.46,1279.61,39.4
2026-04-05,Sunday,4,14,16,26,731.76,799.45,1146.77,35.1
2026-04-08,Wednesday,4,15,11,22,497.78,543.83,770.08,28.1
2026-04-09,Thursday,4,15,6,11,237.89,259.89,658.69,24.1
2026-04-10,Friday,4,15,12,21,586.79,641.07,681.94,24.3
2026-04-11,Saturday,4,15,24,47,1631.56,1782.48,863.56,29.1
2026-04-12,Sunday,4,15,14,24,913.77,998.29,886.35,27.9
2026-04-15,Wednesday,4,16,9,16,402.86,440.12,780.73,23.9
2026-04-16,Thursday,4,16,7,9,236.91,258.82,703.5,21.4
2026-04-17,Friday,4,16,11,26,541.76,591.87,710.36,22.0
2026-04-18,Saturday,4,16,25,56,1782.99,1947.92,951.51,28.4
2026-04-19,Sunday,4,16,17,22,567.78,620.3,948.54,28.6
2026-04-22,Wednesday,4,17,5,17,645.84,705.58,794.7,24.3
2026-04-23,Thursday,4,17,7,9,264.92,289.43,693.43,22.1
2026-04-24,Friday,4,17,15,24,561.76,613.72,718.23,23.3
2026-04-25,Saturday,4,17,14,30,799.75,873.73,806.08,26.3
2026-04-26,Sunday,4,17,9,17,419.84,458.68,787.05,25.0
2026-04-29,Wednesday,4,18,6,7,196.93,215.15,539.51,18.0
2026-04-30,Thursday,4,18,6,13,749.9,819.27,567.94,16.7
2026-05-01,Friday,5,18,14,29,683.23,746.43,573.77,18.4
2026-05-02,Saturday,5,18,22,38,1127.64,1231.95,708.42,22.6
2026-05-03,Sunday,5,18,11,17,427.85,467.43,687.52,21.6
2026-05-06,Wednesday,5,19,1,2,39.98,43.68,568.94,17.6
2026-05-07,Thursday,5,19,13,25,543.78,594.08,588.28,18.7
2026-05-08,Friday,5,19,6,6,210.96,230.47,590.47,18.6
2026-05-09,Saturday,5,19,16,49,1557.61,1701.69,716.53,23.7
2026-05-10,Sunday,5,19,11,16,551.85,602.9,696.03,21.9
2026-05-13,Wednesday,5,20,9,13,330.87,361.48,571.68,18.3
2026-05-14,Thursday,5,20,13,18,993.88,1085.81,660.02,18.4
2026-05-15,Friday,5,20,26,43,1310.17,1431.36,858.26,24.3
2026-05-16,Saturday,5,20,25,44,1293.67,1413.33,975.29,27.0
2026-05-17,Sunday,5,20,26,60,1626.44,1776.89,1196.21,34.7
2026-05-20,Wednesday,5,21,4,12,235.88,257.7,989.92,29.4
2026-05-21,Thursday,5,21,3,4,99.96,109.21,919.4,27.7
2026-05-22,Friday,5,21,13,31,818.76,894.5,995.54,30.3
2026-05-23,Saturday,5,21,12,18,563.83,615.98,928.42,30.3
2026-05-24,Sunday,5,21,2,4,138.96,151.81,745.63,24.7
