brand_name,units_sold,total_revenue,avg_retail_price,revenue_per_unit,transaction_count,revenue_share_pct
Unknown,533,14531.34,26.49,27.26,341,27.3
Coach,25,4626.94,185.08,185.08,24,8.7
Desigual,20,1944.88,97.24,97.24,20,3.6
Zara,23,525.77,22.86,22.86,22,1.0
Banana Republic,22,504.78,22.94,22.94,21,0.9
Altar'd State,15,348.85,23.26,23.26,15,0.7
Persaman,9,345.91,38.43,38.43,8,0.6
Harley Davidson,9,330.91,36.77,36.77,8,0.6
Ann Taylor,13,326.87,25.14,25.14,13,0.6
J Crew,12,311.88,25.99,25.99,12,0.6
Chloe,1,299.0,299.0,299.0,1,0.6
White House Black Market,12,284.88,23.74,23.74,11,0.5
Express,13,237.87,18.76,18.3,13,0.4
Loft,11,235.89,21.44,21.44,11,0.4
Lauren Ralph Lauren,4,231.97,57.99,57.99,4,0.4
Nine West,10,231.9,23.19,23.19,10,0.4
Chico's,7,227.93,32.56,32.56,7,0.4
Talbots,10,225.1,23.29,22.51,10,0.4
1883 by Luccheen,1,224.99,224.99,224.99,1,0.4
Abercrombie & Fitch,9,213.91,23.77,23.77,9,0.4
