date,is_wednesday_deal,transactions,units_sold,realized_revenue,discount_given,avg_transaction_value
2026-03-25,0,5,11,307.89,0.0,61.58
2026-04-01,0,10,20,437.8,0.0,43.78
2026-04-08,0,11,22,497.78,2.0,45.25
2026-04-15,0,9,16,402.86,0.0,44.76
2026-04-22,0,5,17,645.84,0.0,129.17
2026-04-29,0,6,7,196.93,0.0,32.82
2026-05-06,0,1,2,39.98,0.0,39.98
2026-05-13,0,9,13,330.87,0.0,36.76
2026-05-20,0,4,12,235.88,0.0,58.97
2026-05-27,0,7,12,541.91,0.0,77.42
2026-06-03,0,3,3,79.98,0.0,26.66
2026-06-03,1,12,29,860.81,326.93,71.73
2026-06-10,1,12,37,954.07,268.61,79.51
2026-06-17,0,5,5,142.96,0.0,28.59
2026-06-17,1,3,6,128.45,31.48,42.82
2026-06-24,0,4,5,144.96,0.0,36.24
2026-06-24,1,8,36,724.24,175.42,90.53
