week_num,month,week_start,transactions,units_sold,weekly_subtotal,weekly_total,avg_order_value
7,2,2026-02-13,38,61,2000.31,2185.34,57.51
8,2,2026-02-17,63,114,3752.26,4099.34,65.07
9,2,2026-02-25,67,116,3559.42,3888.67,58.04
10,3,2026-03-04,71,112,3353.94,3664.18,51.61
11,3,2026-03-11,47,83,2259.19,2468.17,52.51
12,3,2026-03-18,60,112,3509.93,3834.6,63.91
13,3,2026-03-25,141,237,7770.22,8488.97,60.21
14,4,2026-04-01,81,136,3484.77,3807.11,47.0
15,4,2026-04-08,67,125,3867.79,4225.56,63.07
16,4,2026-04-15,69,129,3532.3,3859.04,55.93
17,4,2026-04-22,50,97,2692.11,2941.13,58.82
18,4,2026-04-29,59,104,3185.55,3480.21,58.99
19,5,2026-05-06,47,98,2904.18,3172.82,67.51
20,5,2026-05-13,99,178,5555.03,6068.87,61.3
21,5,2026-05-20,34,69,1857.39,2029.2,59.68
