sku,retail_price,supply_price,active,inventory,size,product_name,brand_name,product_category,gross_margin_pct
10004872,28.99,0.0,1,0,M,&merci blouse brgndy,&Merci,Top,
10009270,17.99,4.35,1,1,,1 State Pink Floral Blouse M,,Top,75.8
10004993,27.99,0.0,1,1,M,1 State Pink LS Sheer Pattern,1. State,Top,
10009001,29.99,7.6,1,1,M,1 State Red Tank & Shorts Set,1. State,Shorts,74.7
10007204,21.99,0.0,1,0,,1. State Leopard Print Dress,,Dress,
10006616,34.99,0.0,1,-1,,100005553,,Other,
10008085,18.99,0.0,1,-1,,10002312,,Other,
10005795,12.99,0.0,1,0,,10003259,,Other,
10005798,24.99,0.0,1,0,,10003277,,Other,
10005996,24.99,0.0,1,-1,,10003884,,Other,
10005796,12.99,0.0,1,-1,,10003992,,Other,
10005900,13.99,0.0,1,-1,,10005204,,Other,
10007213,22.99,0.0,1,-1,,10007212,,Other,
10009364,200.0,0.0,1,-1,,10009363,,Other,
10003950,69.99,0.0,1,0,M,12th Tribe White Sequin Jacket,12th Tribe,Jacket/Coat,
10003830,23.99,0.0,1,1,10,1822 Denim Blk Jean,1822 Denim,Jeans/Pants,
10003761,224.99,0.0,1,0,7.5,1883 Teal and Brown Cowgirl Boots,1883 by Luccheen,Shoes,
10007377,55.99,0.0,1,1,,1950sCaroAuroraBrac&earrSET,Unknown,Accessories,
10009260,29.99,6.55,1,1,,2000's Abstract Print Top S,,Top,78.2
10009497,29.99,5.0,1,1,,2000's Abstract Satin Slip Dress M,,Dress,83.3
10008930,23.99,6.75,1,1,,21 Saints Black Bodysuit S,,Top,71.9
10005144,21.99,0.0,1,1,M,21Saints Ruche Blouse Blk,21 Saints,Top,
10008678,20.99,7.0,1,1,,2pc Sophia Pajama Set L,,Set,66.7
10005181,24.99,0.0,1,1,L,2to-Ky SquarePattern Top Prpl&Bl,2to-Ky,Top,
10004617,35.99,0.0,1,0,L,3 Suiesses Red Spaghetti Strap Dress,3 Suiesses Collection,Dress,
10003876,34.99,0.0,1,1,M,32 D Purple Puffer Jacket,32 Degrees,Jacket/Coat,
10004213,21.99,0.0,1,1,S,41 Hawthorm Purple Polka Dot SL,41 Hawthorn,Other,
10006423,21.99,0.0,1,1,,514 slim straight dark jean,Levi Strauss & Co,Jeans/Pants,
10004883,45.99,0.0,1,0,2,5a7 jns dnm,5A7,Jeans/Pants,
10004336,19.99,0.0,1,1,28,7 FAM Black Jeans,7 For All Mankind,Jeans/Pants,
10003794,36.99,0.0,1,0,27,7 FAMK Skinny Jeans,7 For All Mankind,Jeans/Pants,
10005698,28.99,0.0,1,1,32,7 For all Mankind Black Skirt,7 For All Mankind,Skirt,
10006987,17.99,0.0,1,1,M,7 For all Mankind Blue Ombre SL Top,7 For All Mankind,Top,
10003524,31.99,0.0,1,1,XS,7 for All Mankind Jacket Pink,7 For All Mankind,Jacket/Coat,
10007510,54.99,24.99,1,1,,7 for Mankind Brown Leather Jacket S,,Jacket/Coat,54.6
10005712,21.99,0.0,1,1,12,7th Avenue B & W Checkered Skirt,7th Avenue Design,Skirt,
10007582,17.99,0.0,1,1,12,7th Avenue Bright Red Shorts,7th Avenue Design,Shorts,
10006607,24.99,0.0,1,1,M,89th & Madi Yellow LS Design Top,89th & Madison,Top,
10004684,25.99,0.0,1,1,M,89th & madison swtr gry,89th & Madison,Sweater/Cardigan,
10008356,14.99,0.0,1,0,40,8byYook BlueTieTop,8 by Yook,Other,
10009434,39.99,8.75,1,1,,90's Big Boy Sportswear Tee,,Top,78.1
10008804,29.99,7.5,1,1,,90's Vintage Floral Satin Cami M,,Top,75.0
10004609,25.99,0.0,1,0,XL,A Beautiful Soul Blush & Black Dress,A Beautiful Soul,Dress,
10005195,18.99,0.0,1,0,S,A Byer Pink Floral Ruffle SL Top,A. Byer,Top,
10007552,19.0,4.75,1,0,S,A Father's Love Orange Skirt,,Skirt,75.0
10008987,20.99,10.95,1,1,,A New Day Beige Heels 8,,Top,47.8
10004616,24.99,0.0,1,1,M,A New Day Black & White Dress,A New Day,Dress,
10007473,17.99,0.0,1,0,L,A New Day Black SL Dress,A New Day,Dress,
10003937,31.99,0.0,1,1,M,A New Day Black Slip NWT,A New Day,Other,
10007267,15.99,0.0,1,1,XS,A New Day Black Top,,Top,
10007660,29.99,12.0,1,1,,A New Day Kelsey Rhinestone Slides 8,,Top,60.0
10009085,12.99,8.99,1,1,S,a new day plaid tank,A New Day,Top,30.8
10006539,21.99,0.0,1,1,M,A New Day Purple Tank,A New Day,Top,
10009283,16.0,8.0,1,1,6,A New Day Yellow Dress,A New Day,Dress,50.0
10002227,1.0,0.0,1,0,,A New DayTank Top_Ra,A New Day,Top,
10002354,14.99,0.0,1,1,,A New DayTank Top_Ra,A New Day,Top,
10002989,10.99,0.0,1,0,,A New DayTank Top_Ra,A New Day,Top,
10008618,12.99,3.25,1,1,,A'gaci Floral Halter Top M,,Top,75.0
10006974,42.99,0.0,1,1,L,A'nye Ligne White LS,A'nye Ligne,Top,
10008211,18.99,6.0,1,1,,A.N.A. Purple Sleeveless Top M,,Top,68.4
10008584,42.99,8.0,1,0,XS,AbeltLabel WhiGreenDress,Abel the Label,Dress,81.4
10006357,21.99,0.0,1,0,M,AbercmxFitch BrwnBowTop,Abercrombie & Fitch,Other,
10006005,24.99,0.0,1,1,XS,Abercombie BluGrnSwter,Abercrombie & Fitch,Other,
10007791,23.99,0.0,1,1,M,Abercrombie & F Beige Satin Crop Top,Abercrombie & Fitch,Top,
10007475,33.99,0.0,1,1,M,Abercrombie & F Black SL Dress,Abercrombie & Fitch,Dress,
10005629,24.99,0.0,1,0,L,Abercrombie & F Black White Floral LS,Abercrombie & Fitch,Top,
10005880,31.99,0.0,1,0,XS,Abercrombie & F Blue Cardigan,Abercrombie & Fitch,Sweater/Cardigan,
10005967,24.99,0.0,1,0,XS,Abercrombie & F Blue Crop Cardigan,Abercrombie & Fitch,Sweater/Cardigan,
10005691,39.99,0.0,1,1,14,Abercrombie & F Brown Faded Jeans,Abercrombie & Fitch,Jeans/Pants,
10005571,23.99,0.0,1,1,XL,Abercrombie & F Gray Cardigan,Abercrombie & Fitch,Sweater/Cardigan,
10005974,26.99,0.0,1,1,XL,Abercrombie & F NWT Black Satin Tank,Abercrombie & Fitch,Top,
10006674,16.0,0.0,1,1,S,Abercrombie & F Pale Pink Satin Dress,Abercrombie & Fitch,Dress,
10006712,39.99,0.0,1,0,S,Abercrombie & F Strapless Orange Dress,Abercrombie & Fitch,Dress,
10005937,39.99,0.0,1,1,XL,Abercrombie & F Tan Satin Bodysuit,Abercrombie & Fitch,Top,
10006290,22.99,0.0,1,1,S,Abercrombie & F White Crop Top,Abercrombie & Fitch,Top,
10009242,21.99,5.45,1,1,,Abercrombie & Fitch Brown Crop Top S,,Top,75.2
10009411,21.99,6.55,1,1,,Abercrombie & Fitch Floral Dress 6,,Dress,70.2
10008208,34.99,6.0,1,1,,Abercrombie & Fitch Floral Top M,,Top,82.9
10005225,14.99,0.0,1,1,L,Abercrombie & Fitch Tank Bodysuit Pink,Abercrombie & Fitch,Top,
10009131,25.0,6.25,1,1,,Abercrombie & Fitch White Dress XL,,Dress,75.0
10006431,25.99,0.0,1,0,L,abercrombie and fitch black croptop,Abercrombie & Fitch,Top,
10005308,12.99,0.0,1,1,XS,Abercrombie Floral Tube Top,Abercrombie & Fitch,Top,
10005118,24.99,0.0,1,1,L,Abercrombie Green Blue LS Flannel,Abercrombie & Fitch,Top,
10001914,1.0,0.0,1,0,,Abercrombie X FitchSkirt_H,Abercrombie & Fitch,Skirt,
10002000,29.99,0.0,1,0,,Abercrombie X FitchSkirt_H,Abercrombie & Fitch,Skirt,
10002338,24.99,0.0,1,1,,Abercrombie X FitchSkirt_H,Abercrombie & Fitch,Skirt,
10007333,13.99,0.0,1,1,S,Abercrombie Yellow SS Top,Abercrombie & Fitch,Top,
10005447,15.99,0.0,1,0,XXS,Abercrombie&Finch Floral Top,Abercrombie & Fitch,Top,
10008337,14.99,0.0,1,0,M,Abercrombie GryTanHalterTop,Abercrombie & Fitch,Top,
10006351,22.99,0.0,1,1,M,AbercrombieXF FloralCropTop,Abercrombie & Fitch,Top,
10005781,23.99,0.0,1,1,M,Abollria FloralBlouse,Abollria,Top,
10008382,17.99,8.99,1,1,M,about a girl teal floral tanktop,About a girl,Top,50.0
