datetime,date,hour,month,day_of_week,week_num,receipt_number,total_items,subtotal,sales_tax,total_discount,total,details,register
2026-05-24 11:44:06,2026-05-24,11,5,Sunday,21,575,2.0,89.98,8.32,0.0,98.3,1 X Red Halter Bra / Size S + 1 X VintagePamelaF/RedStitchSkirt/Size6,POS 2
2026-05-24 11:08:22,2026-05-24,11,5,Sunday,21,574,2.0,48.98,4.53,0.0,53.51,1 X Maurizio Floral Long Clutch + 1 X Grey Kiss Tee/Size S,POS 2
2026-05-23 19:44:15,2026-05-23,19,5,Saturday,21,573,1.0,14.99,1.39,0.0,16.38,1 X Unknown White Camisole Size M,POS 2
2026-05-23 19:43:36,2026-05-23,19,5,Saturday,21,572,1.0,12.99,1.2,0.0,14.19,1 X Black lace coverall  OSFM,POS 2
2026-05-23 16:13:56,2026-05-23,16,5,Saturday,21,571,3.0,45.96,4.25,0.0,50.21,1 X SilverGoldBracelet + 1 X HelloFranki/Blue&WhiTop/SizeL + 1 X JacquelineF/BrownCrossBag + 1 X Abercrombie/GryTanHalterTop/SizeM + -1 X Discount,POS 2
2026-05-23 16:11:46,2026-05-23,16,5,Saturday,21,570,0.0,15.99,1.48,0.0,17.47,1 X Sonoma RWB Woven Purse + -1 X Discount,POS 2
2026-05-23 16:03:32,2026-05-23,16,5,Saturday,21,569,1.0,12.99,1.2,0.0,14.19,1 X Ande Black Purse Gold Hardware,POS 2
2026-05-23 15:06:50,2026-05-23,15,5,Saturday,21,568,1.0,55.99,5.18,0.0,61.17,1 X Mystree/BrwnStripeSweater/SizeS,POS 2
2026-05-23 15:05:01,2026-05-23,15,5,Saturday,21,567,4.0,88.96,8.23,0.0,97.19,1 X Ann Taylor Yellow/White Top S + 1 X eyeshadow creme lace vest/s + 1 X EM Mustard Yellow Top/Size S + 1 X Multicolor Bead Earrings,POS 2
2026-05-23 14:58:34,2026-05-23,14,5,Saturday,21,566,1.0,32.99,3.05,0.0,36.04,1 X R & K Yellow Pant Top Set / Size 10,POS 2
2026-05-23 12:57:52,2026-05-23,12,5,Saturday,21,565,1.0,21.99,2.03,0.0,24.02,1 X FP One Cami Dress Size XS,POS 2
2026-05-23 12:50:54,2026-05-23,12,5,Saturday,21,564,1.0,24.99,2.31,0.0,27.3,1 X MulicolStripSweater/SizeM,POS 2
2026-05-23 12:39:14,2026-05-23,12,5,Saturday,21,563,1.0,29.99,2.77,0.0,32.76,1 X cpck&cash/rvs bmb jkt/blk/m,POS 2
2026-05-23 12:08:29,2026-05-23,12,5,Saturday,21,562,1.0,200.0,18.5,0.0,218.5,1 X Desigual/RedPatternJacket/Size40/US6,POS 2
2026-05-22 19:34:09,2026-05-22,19,5,Friday,21,560,3.0,77.97,7.21,0.0,85.18,1 X AsosDesign/PnkOrFloralSkirt/Size2 + 1 X Reformed B & W Floral Skirt / Size 6 + 1 X Fossil/PinkDotDress/SizeXS,POS 2
2026-05-22 19:33:14,2026-05-22,19,5,Friday,21,561,2.0,59.98,5.55,0.0,65.53,1 X Paul McCartneyTee Shirt_SO + 1 X BrooksBros/StripeCollarDress/SizeL,POS 2
2026-05-22 19:26:05,2026-05-22,19,5,Friday,21,559,1.0,29.99,2.77,0.0,32.76,1 X London Times Blue White SL Dress / Size 8,POS 2
2026-05-22 19:24:42,2026-05-22,19,5,Friday,21,558,2.0,38.98,3.61,0.0,42.59,1 X WHBM White Dress/Size 6 + 1 X Altar'd State Lace SL Blouse / Size M,POS 2
2026-05-22 19:23:17,2026-05-22,19,5,Friday,21,557,7.0,145.94,13.5,0.0,159.44,1 X L.S. Dunes Tee Shirt Beige Size S + 1 X J. Crew Top Beige Size M + 1 X Tryst/Blk&BlueTankTop/SizeS + 1 X WHBM Burgundy Design SL Top / Size S + 1 X The Limited Off White Tank Blouse/Size XL + 1 X GradeXG/WhiBlouse/SizeM + 1 X Loft Black/White Top M,POS 2
2026-05-22 17:39:47,2026-05-22,17,5,Friday,21,556,1.0,15.99,1.48,0.0,17.47,1 X Green Leather Belt,POS 2
2026-05-22 17:05:04,2026-05-22,17,5,Friday,21,555,1.0,13.0,1.2,0.0,14.2,1 X Unknown Lt Grey LS Top M,POS 2
2026-05-22 16:47:11,2026-05-22,16,5,Friday,21,554,2.0,51.99,4.81,0.0,56.8,1 X BlackPantwBows/SizeS + 1 X Vince Camuto SS Top Pink L,POS 2
2026-05-22 16:38:30,2026-05-22,16,5,Friday,21,553,1.0,135.0,12.49,0.0,147.49,1 X Leather Fringe Dress / Size S,POS 2
2026-05-22 16:16:03,2026-05-22,16,5,Friday,21,552,1.0,24.99,2.31,0.0,27.3,1 X Antonio Melani White Tank Top Size S,POS 2
2026-05-22 16:03:27,2026-05-22,16,5,Friday,21,551,1.0,14.99,1.39,0.0,16.38,1 X 8byYook/BlueTieTop/Size40,POS 2
2026-05-22 14:21:05,2026-05-22,14,5,Friday,21,550,3.0,63.97,5.92,0.0,69.89,1 X Victoriaxs SecretSlip_Ta + 1 X Primark Pink SL Blouse / Size 8 + 1 X Itsu Green Floral Skirt / Size 8,POS 2
2026-05-22 13:28:14,2026-05-22,13,5,Friday,21,549,5.0,140.97,13.04,0.0,154.01,1 X MarilynM/FlamingoDress/SizeM + 1 X Casa Lee Beige Black Skull Vest 1 / Size S + 1 X Casa Lee Beige Black Skull Vest 2 / Size S + 1 X Foxblood Black Dress S + 1 X OneClothing/BlkWhiTiedye/SizeL + 1 X urban/shear top/blk rose/xs + -1 X Discount,POS 2
2026-05-21 17:22:39,2026-05-21,17,5,Thursday,21,548,1.0,61.98,5.73,0.0,67.71,1 X Aureum NWT Yellow Blue Shorts / Size M + 1 X Unknown Purple SS Top M + -1 X Discount,POS 2
2026-05-21 17:15:44,2026-05-21,17,5,Thursday,21,547,1.0,22.99,2.13,0.0,25.12,1 X SweetPea/ Sheer Floral Top/ Size L,POS 2
2026-05-21 12:24:54,2026-05-21,12,5,Thursday,21,546,1.0,11.99,1.11,0.0,13.1,1 X MelroseM/TanStripeShorts/SizeM,POS 2
2026-05-20 17:18:51,2026-05-20,17,5,Wednesday,21,545,6.0,129.94,12.02,0.0,141.96,1 X Adiva Vintage LS Blouse Size S + 1 X Divided Black Top Size 4 + 1 X NWT Rip Curl Red Top Size S + 1 X ribbed purple middle scrunk croptop/small + 1 X She & Sky White Crop Top / Size S + 1 X Banana Rep Beige Cardigan / Size XS,POS 2
2026-05-20 15:18:34,2026-05-20,15,5,Wednesday,21,544,1.0,24.99,2.31,0.0,27.3,1 X JonesNY/BlackBttnDwnDress/Size10,POS 2
2026-05-20 14:27:27,2026-05-20,14,5,Wednesday,21,543,2.0,39.98,3.7,0.0,43.68,1 X Japna Blue/White SS Top S + 1 X Vintage Goth Dress Size 4,POS 2
2026-05-20 14:22:10,2026-05-20,14,5,Wednesday,21,542,3.0,40.97,3.79,0.0,44.76,1 X HYFVE Green Halter Top L + 1 X HYFVE Yellow Top Size M + 1 X MNG white and blue floral blouse/4,POS 2
2026-05-17 15:51:42,2026-05-17,15,5,Sunday,20,541,1.0,15.99,1.48,0.0,17.47,1 X Her/PnkFlareSleeveBttnDwn/SizeS,POS 2
2026-05-17 15:43:49,2026-05-17,15,5,Sunday,20,540,2.0,32.98,3.05,0.0,36.03,1 X Newbury Kuston Pink SS Top M + 1 X A New Day Black SL Dress / Size L,POS 2
2026-05-17 15:41:43,2026-05-17,15,5,Sunday,20,539,1.0,23.0,2.13,0.0,25.13,1 X Foxblood Black Sheer SS Dress / Size XS,POS 2
2026-05-17 15:24:06,2026-05-17,15,5,Sunday,20,538,1.0,21.99,2.03,0.0,24.02,1 X Talbots Silk SL Top / Size 8,POS 2
2026-05-17 15:10:35,2026-05-17,15,5,Sunday,20,537,2.0,38.98,3.61,0.0,42.59,1 X Loft Black Floral Dress / Size 8 + 1 X CarolinaB/RedWhiteShorts/Size10,POS 2
2026-05-17 15:07:32,2026-05-17,15,5,Sunday,20,536,3.0,112.97,10.45,0.0,123.42,1 X Bar IIICardigan_Zi + 1 X Candies Pink Jacket Size XL + 1 X Kate Spade PInk Lola Tote Bag,POS 2
2026-05-17 15:04:16,2026-05-17,15,5,Sunday,20,535,1.0,19.99,1.85,0.0,21.84,1 X NineWest/BluedenimHeels/Size8,POS 2
2026-05-17 15:00:51,2026-05-17,15,5,Sunday,20,534,2.0,55.98,5.18,0.0,61.16,1 X Christopher Banks Green Jacket XL + 1 X LenaG/CreamBttnBlazer/Size12,POS 2
2026-05-17 14:52:31,2026-05-17,14,5,Sunday,20,533,3.0,187.98,17.39,0.0,205.37,1 X GraceK/BlkBlouse/SizeS + 1 X BCBG Maxmara Brown Sundress/Size M + 1 X FarmRio/PinkMulticolDress/SizeL,POS 2
2026-05-17 14:48:02,2026-05-17,14,5,Sunday,20,532,4.0,87.96,8.14,0.0,96.1,1 X Anthropologie Gray Crop Top w Tie Back/Size M + 1 X MulticolStripeCropTop/SizeL + 1 X Monteau Green/Beige Jumpsuit S + 1 X Le Lis Orange Romper Size M,POS 2
2026-05-17 14:38:26,2026-05-17,14,5,Sunday,20,531,1.0,24.99,2.31,0.0,27.3,1 X Multi-Patterned Sheer Fitted Dress/Size 2XL,POS 2
2026-05-17 14:37:41,2026-05-17,14,5,Sunday,20,530,1.0,48.99,4.53,0.0,53.52,1 X Maniere De Voir WhtSatin Bustier/  L,POS 2
2026-05-17 14:03:20,2026-05-17,14,5,Sunday,20,529,4.0,90.96,8.41,0.0,99.37,1 X Patagonia/PinkShorts/SizeM + 1 X J. Jill Blue/White Pants Size M + 1 X AmericanEagle/RedWhiSkirt/SizeM + 1 X The Normal Pants Yellow/White L,POS 2
2026-05-17 13:58:23,2026-05-17,13,5,Sunday,20,528,1.0,21.99,2.03,0.0,24.02,1 X GoodChoice/PinkFlowerShoe/Size9.5,POS 2
2026-05-17 13:57:26,2026-05-17,13,5,Sunday,20,527,4.0,81.96,7.58,0.0,89.54,1 X Lisette Floral Pants Offwhite/Size M + 1 X Christopher Blue White Pants / Size 4 + 1 X BlackTape/ Strappy Tank/ Pink/ Size M + 1 X Old Navy/ Floral Top/ Pnk&Orng/ Size M,POS 2
2026-05-17 13:49:19,2026-05-17,13,5,Sunday,20,526,4.0,96.96,8.97,0.0,105.93,1 X Altard State Brown Skort S + 1 X ColesceC/Blk&Wh/SizeS + 1 X Alexandria Barlett Black Colorful Capris / Size 8 + 1 X Dana B Black Silk Skirt / Size M,POS 2
2026-05-17 13:48:10,2026-05-17,13,5,Sunday,20,525,2.0,55.99,5.18,0.0,61.17,1 X XOXO Black Off Shoulder LS w Grommets / Size M + 1 X Caleaas Purple Jacket / Size S,POS 2
2026-05-17 13:32:54,2026-05-17,13,5,Sunday,20,524,1.0,24.99,2.31,0.0,27.3,1 X black ribbed blouse/xs,POS 2
2026-05-17 12:57:49,2026-05-17,12,5,Sunday,20,523,2.0,50.98,4.72,0.0,55.7,1 X BlackScrunchBag + 1 X Zara Sage Green Dress / Size S,POS 2
2026-05-17 12:29:41,2026-05-17,12,5,Sunday,20,522,1.0,21.99,2.03,0.0,24.02,1 X BCBGeneration/ Knit Top/ Prp&Wht/ SIze XL,POS 2
2026-05-17 12:26:50,2026-05-17,12,5,Sunday,20,521,11.0,342.89,31.72,0.0,374.61,1 X Adrianna Papell Gold Heels/Size 7.5 + 1 X VINTAGE Black SL Dress with White Flowers / Size S + 1 X VINTAGE Shiny Pink Green SS Dress / Size S + 1 X LauraAshley/Gld Kitten/Size 7.5 + 1 X Loft/MulticolPatternSkirt/Size0 + 1 X Laundry Multi-Color Dress Size M + 1 X CharlotteR/BlktoolSkirt/SizeS + 1 X BananaRep/BlkLaceDress/Size0 + 1 X black lace skirt/4 + 1 X FrenchC/BlackDress/Size0 + 1 X BananaRep/BlkDress/Size0,POS 2
2026-05-17 11:49:21,2026-05-17,11,5,Sunday,20,520,2.0,49.98,4.62,0.0,54.6,1 X Akira/Brwn&BlkSheerTop/SizeS + 1 X Patagonia/YellowShorts/SIzeM,POS 2
2026-05-17 11:45:32,2026-05-17,11,5,Sunday,20,519,1.0,14.99,1.39,0.0,16.38,1 X Pink & White SL Romper / Size S,POS 2
2026-05-17 11:44:25,2026-05-17,11,5,Sunday,20,518,3.0,50.97,4.71,0.0,55.68,1 X OldCountyRoad/RedStripeBag + 1 X Brown Tote Bag M/L + 1 X Chelsea & Violet Red Shorts M,POS 2
2026-05-17 11:43:30,2026-05-17,11,5,Sunday,20,517,1.0,26.0,2.41,0.0,28.41,1 X AUW Blue Camisole Size L,POS 2
2026-05-17 11:40:34,2026-05-17,11,5,Sunday,20,516,1.0,23.99,2.22,0.0,26.21,1 X black and white strip pant/XL,POS 2
