sku,closing_inventory,revenue,inventory_cost,size,product_name,brand_name,product_category
10004872,1,0.0,0.0,M,&merci blouse brgndy,&Merci,Top
10004993,1,0.0,0.0,M,1 State Pink LS Sheer Pattern,1. State,Top
10007204,0,21.99,0.0,,1. State Leopard Print Dress,,Dress
10006616,-1,34.99,0.0,,100005553,,Other
10008085,-1,18.99,0.0,,10002312,,Other
10005795,0,0.0,0.0,,10003259,,Other
10005798,0,0.0,0.0,,10003277,,Other
10005996,-1,24.99,0.0,,10003884,,Other
10005796,-1,11.77143,0.0,,10003992,,Other
10005900,-1,13.99,0.0,,10005204,,Other
10007213,-1,22.99,0.0,,10007212,,Other
10003950,0,69.99,0.0,M,12th Tribe White Sequin Jacket,12th Tribe,Jacket/Coat
10003830,1,0.0,0.0,10,1822 Denim Blk Jean,1822 Denim,Jeans/Pants
10003761,0,185.0,0.0,7.5,1883 Teal and Brown Cowgirl Boots,1883 by Luccheen,Shoes
10007377,1,0.0,0.0,,1950sCaroAuroraBrac&earrSET,Unknown,Set
10005144,1,0.0,0.0,M,21Saints Ruche Blouse Blk,21 Saints,Top
10008678,1,0.0,7.0,,2pc Sophia Pajama Set L,,Set
10005181,1,0.0,0.0,L,2to-Ky SquarePattern Top Prpl&Bl,2to-Ky,Top
10004617,1,0.0,0.0,L,3 Suiesses Red Spaghetti Strap Dress,3 Suiesses Collection,Dress
10003876,1,0.0,0.0,M,32 D Purple Puffer Jacket,32 Degrees,Jacket/Coat
10004213,1,0.0,0.0,S,41 Hawthorm Purple Polka Dot SL,41 Hawthorn,Other
10006423,1,0.0,0.0,,514 slim straight dark jean,Levi Strauss & Co,Jeans/Pants
10004883,0,45.99,0.0,2,5a7 jns dnm,5A7,Jeans/Pants
10004336,1,0.0,0.0,28,7 FAM Black Jeans,7 For All Mankind,Jeans/Pants
10003794,1,0.0,0.0,27,7 FAMK Skinny Jeans,7 For All Mankind,Jeans/Pants
10005698,1,0.0,0.0,32,7 For all Mankind Black Skirt,7 For All Mankind,Skirt
10006987,1,0.0,0.0,M,7 For all Mankind Blue Ombre SL Top,7 For All Mankind,Top
10003524,1,0.0,0.0,XS,7 for All Mankind Jacket Pink,7 For All Mankind,Jacket/Coat
