sku,product_name,brand_name,product_category,size,retail_price,supply_price,gross_margin_pct,current_inventory,sold_revenue,closing_inventory,inventory_cost
10007594,Flowers,,Other,,22.5,16.0,28.9,1,567.5,1,0.0
10003680,coach bridget blk,Coach,Other,,450.0,0.0,,0,445.0,0,0.0
10006273,Vintage Y2K Baby Pink Coach Soho Shoulder Bag,Coach,Accessories,,350.0,0.0,,0,343.91304,0,0.0
10006670,Pink coach mini purse,Coach,Accessories,,300.0,0.0,,0,300.0,0,0.0
10003063,ChloePurse_Ch,Chloe,Accessories,,299.0,0.0,,0,299.0,0,0.0
10007672,Coach Small Pink Purse Gold Hardware Zipper,Coach,Accessories,,295.0,0.0,,0,287.17465,0,0.0
10005738,Coach Fringe Brown Purse AS IS,Coach,Accessories,,275.0,0.0,,0,275.0,0,0.0
10007763,Coach JadeGreyPurse,Coach,Accessories,,275.0,0.0,,0,270.41651,0,0.0
10003650,CoachMiniEdiewStudsBlack,Coach,Other,,250.0,0.0,,1,250.0,1,0.0
10004488,Coach PinkStitchedSoho,Coach,Other,,245.0,0.0,,0,245.0,0,0.0
10003436,Coach Apple Green Suede Hobo Bag,Coach,Accessories,,225.0,0.0,,0,225.0,0,0.0
10005607,Coach Black Leather Purse,Coach,Accessories,,225.0,0.0,,0,225.0,0,0.0
10003148,Coach Erin Leather Shoulder Bag,Coach,Accessories,,225.0,0.0,,0,225.0,0,0.0
10003432,VINTAGE Coach Pink Soho Flap Bag,Coach,Accessories,,225.0,0.0,,0,225.0,0,0.0
10004522,Coach Green Purse Leather Handle,Coach,Accessories,,225.0,0.0,,0,221.08696,0,0.0
10007595,Desigual RedPatternJacket US6,Desigual,Jacket/Coat,40,200.0,0.0,,0,200.0,0,0.0
10007843,Coach Pink Hampton Leather Bag,,Accessories,,199.99,175.42,12.3,0,199.99,0,0.0
10006832,Black leather coach purse,Coach,Accessories,,195.0,0.0,,0,195.0,0,0.0
10005903,Coach Mini Bennett Satchel w Studs,Coach,Other,,195.0,0.0,,0,195.0,0,0.0
10008270,Coach Pink Madison Hobo,,Other,,195.0,168.0,13.8,0,195.0,0,0.0
10003761,1883 Teal and Brown Cowgirl Boots,1883 by Luccheen,Shoes,7.5,224.99,0.0,,0,185.0,0,0.0
10006331,Desigual Blue Black Red Long Coat,Desigual,Jacket/Coat,40,175.0,0.0,,0,175.0,0,0.0
10005740,Desigual Blue Multicolor Coat,Desigual,Jacket/Coat,40,175.0,0.0,,0,175.0,0,0.0
10005741,Desigual Blue White Longcoat,Desigual,Jacket/Coat,36,175.0,0.0,,0,175.0,0,0.0
10005733,Desigual Multicolor Coat,Desigual,Jacket/Coat,40,175.0,0.0,,0,175.0,0,0.0
10006403,Desigual GrnPatternJacket,Desigual,Jacket/Coat,38,175.0,0.0,,0,175.0,0,0.0
10004527,RLL Black Fringe Purse,Lauren Ralph Lauren,Accessories,,155.0,0.0,,0,155.0,0,0.0
10006231,black long jacket,Desigual,Jacket/Coat,,150.0,0.0,,0,150.0,0,0.0
10005090,Timmy Woods Tortoise Shell Purse,Timmy Woods,Accessories,,150.0,0.0,,0,150.0,0,0.0
10006578,VINTAGE 90s Rafe Designer Handbag,Rafe Designer,Accessories,,150.0,0.0,,0,150.0,0,0.0
10005854,VINTAGE Coach Legacy Tote,Coach,Accessories,,145.99,0.0,,0,145.99,0,0.0
10008444,NWOT Pink Boots,,Shoes,9,139.99,111.18,20.6,0,139.99,0,0.0
10005971,Vero Cuoio Metal Toe Boots,Vero Cuoio,Shoes,7.5,135.99,0.0,,0,135.99,0,0.0
10004376,FarmRio PinkMulticolDress,Farm Rio,Dress,L,135.0,0.0,,0,135.0,0,0.0
10004548,Leather Fringe Dress,,Dress,S,135.0,0.0,,0,135.0,0,0.0
10004173,Vintage Graphic Tunic Black,Miss Sixty,Other,M,130.0,0.0,,0,130.0,0,0.0
10003335,Badgley Mischka Dress Floral Black,Badgley Mischka,Dress,,125.99,0.0,,0,125.99,0,0.0
10006617,Charlie Horse Handcrafted Brazilian Boots 8.5,,Shoes,,125.0,0.0,,0,125.0,0,0.0
10003129,CoachPurse_Cx,Coach,Accessories,,125.0,0.0,,0,125.0,0,0.0
10005957,Desigual Purple Orange Boots,Desigual,Shoes,9.5,125.0,0.0,,0,125.0,0,0.0
10004908,Scully Blk&BlueFringeJacket,Scully,Jacket/Coat,S,125.0,0.0,,0,125.0,0,0.0
10007759,silver skull clutch bag,Unknown,Accessories,,115.0,0.0,,0,115.0,0,0.0
10006788,MulticolFlowerDress,Unknown,Dress,11,100.0,0.0,,0,100.0,0,0.0
10005675,Romeo & Juliet Top Red and Black,,Top,,99.99,0.0,,0,99.99,0,0.0
10006668,brown leather corral cowboy boot 8-8.5,Pecos Bill,Shoes,,85.99,0.0,,0,85.99,0,0.0
10006440,desigual black sweater jean jacket,Desigual,Jeans/Pants,46,85.99,0.0,,0,85.99,0,0.0
