date,receipt_number,day_of_week,is_wednesday_deal,quantity,subtotal,line_discount,brand_name,product_category,retail_price
2026-03-25,574,Wednesday,0,1.0,58.99,0.0,Guess,Shorts,58.99
2026-03-25,575,Wednesday,0,1.0,8.99,0.0,French Bee,Accessories,8.99
2026-03-25,576,Wednesday,0,1.0,28.99,0.0,Jane & Delancy,Top,28.99
2026-03-25,576,Wednesday,0,1.0,14.99,0.0,Heart Soul,Top,14.99
2026-03-25,577,Wednesday,0,1.0,18.99,0.0,Thml,Sweater/Cardigan,18.99
2026-03-25,577,Wednesday,0,1.0,25.99,0.0,Altar'd State,Dress,25.99
2026-03-25,577,Wednesday,0,1.0,22.99,0.0,Tommy Hilfiger,Dress,22.99
2026-03-25,577,Wednesday,0,1.0,25.99,0.0,Banana Republic,Dress,25.99
2026-03-25,577,Wednesday,0,1.0,55.99,0.0,Johnny Was,Dress,55.99
2026-03-25,578,Wednesday,0,1.0,13.99,0.0,Beige,Top,13.99
2026-03-25,578,Wednesday,0,1.0,31.99,0.0,Calvin Klein,Top,31.99
2026-04-01,69,Wednesday,0,1.0,34.99,0.0,J Brand,Jeans/Pants,34.99
2026-04-01,70,Wednesday,0,1.0,18.99,0.0,Lauren Ralph Lauren,Accessories,18.99
2026-04-01,71,Wednesday,0,1.0,24.99,0.0,Nine West,Jacket/Coat,24.99
2026-04-01,72,Wednesday,0,1.0,19.99,0.0,,Jacket/Coat,19.99
2026-04-01,72,Wednesday,0,1.0,19.99,0.0,J.Crew,Other,19.99
2026-04-01,72,Wednesday,0,1.0,24.99,0.0,Bandolino,Jacket/Coat,24.99
2026-04-01,72,Wednesday,0,1.0,19.99,0.0,,Other,19.99
2026-04-01,73,Wednesday,0,1.0,18.99,0.0,Ocean Drive,Dress,18.99
2026-04-01,73,Wednesday,0,1.0,13.99,0.0,Zara Basic,Top,13.99
2026-04-01,74,Wednesday,0,1.0,18.99,0.0,,Top,18.99
2026-04-01,74,Wednesday,0,1.0,22.99,0.0,Altar'd State,Skirt,22.99
2026-04-01,75,Wednesday,0,1.0,29.99,0.0,J.Crew,Dress,29.99
2026-04-01,75,Wednesday,0,1.0,22.99,0.0,Banana Republic,Top,22.99
2026-04-01,75,Wednesday,0,1.0,18.99,0.0,Express,Top,18.99
2026-04-01,76,Wednesday,0,1.0,25.99,0.0,Band of the Free,Dress,25.99
2026-04-01,77,Wednesday,0,1.0,9.99,0.0,Unknown,Accessories,9.99
2026-04-01,78,Wednesday,0,1.0,24.99,0.0,fp Movement,Top,24.99
2026-04-01,78,Wednesday,0,1.0,22.99,0.0,J. Gee,Dress,22.99
2026-04-01,78,Wednesday,0,1.0,8.99,0.0,Wild Fable,Top,8.99
2026-04-01,78,Wednesday,0,1.0,33.99,0.0,Sigrid Olsen,Jeans/Pants,33.99
2026-04-08,150,Wednesday,0,1.0,32.99,0.0,Doe & Rae,Top,32.99
2026-04-08,151,Wednesday,0,1.0,14.99,0.0,Divided,Top,14.99
2026-04-08,152,Wednesday,0,1.0,28.99,0.0,Lila Rose,Dress,28.99
2026-04-08,152,Wednesday,0,1.0,14.99,0.0,Loft,Top,14.99
2026-04-08,152,Wednesday,0,1.0,22.99,0.0,Unknown,Sweater/Cardigan,22.99
2026-04-08,152,Wednesday,0,1.0,22.99,0.0,Calvin Klein,Top,22.99
2026-04-08,152,Wednesday,0,1.0,18.99,0.0,Cable & Gauge,Top,18.99
2026-04-08,152,Wednesday,0,1.0,22.99,0.0,Melloday,Top,22.99
2026-04-08,153,Wednesday,0,1.0,39.99,0.0,,Other,39.99
2026-04-08,154,Wednesday,0,1.0,28.99,0.0,Cole Haan,Shoes,28.99
2026-04-08,155,Wednesday,0,1.0,24.99,0.0,Stylus,Dress,24.99
2026-04-08,155,Wednesday,0,1.0,15.99,0.0,Vanity Fair,Other,15.99
2026-04-08,155,Wednesday,0,1.0,8.99,0.0,Unknown,Accessories,8.99
2026-04-08,155,Wednesday,0,1.0,7.992,1.998,Unknown,Accessories,9.99
2026-04-08,156,Wednesday,0,1.0,31.99,0.0,Abercrombie & Fitch,Sweater/Cardigan,31.99
2026-04-08,156,Wednesday,0,1.0,20.99,0.0,J Jill,Sweater/Cardigan,20.99
2026-04-08,157,Wednesday,0,1.0,18.99,0.0,White House Black Market,Top,18.99
2026-04-08,158,Wednesday,0,1.0,23.99,0.0,,Top,23.99
2026-04-08,159,Wednesday,0,1.0,19.99,0.0,,Top,19.99
2026-04-08,159,Wednesday,0,1.0,22.99,0.0,,Dress,22.99
2026-04-08,159,Wednesday,0,1.0,27.99,0.0,She's Cool,Dress,27.99
