date,day_of_week,month,week_num,transactions,units_sold,daily_subtotal,daily_total,rolling_7day_avg_revenue,rolling_7day_avg_units
2026-03-20,Friday,3,12,4,5,510.97,558.23,558.23,5.0
2026-03-21,Saturday,3,12,22,41,1178.61,1287.63,922.93,23.0
2026-03-22,Sunday,3,12,10,15,363.86,397.52,747.79,20.3
2026-03-25,Wednesday,3,13,5,11,307.89,336.37,644.94,18.0
2026-03-26,Thursday,3,13,32,60,2016.45,2202.97,956.54,26.4
2026-03-27,Friday,3,13,34,56,1582.92,1729.34,1085.34,31.3
2026-03-28,Saturday,3,13,45,71,2911.35,3180.65,1384.67,37.0
2026-03-29,Sunday,3,13,25,39,951.61,1039.63,1453.44,41.9
2026-04-01,Wednesday,4,14,10,20,437.8,478.3,1337.83,38.9
2026-04-02,Thursday,4,14,7,13,467.89,511.17,1354.06,38.6
2026-04-03,Friday,4,14,23,33,767.72,838.73,1425.83,41.7
2026-04-04,Saturday,4,14,25,44,1079.6,1179.46,1279.61,39.4
2026-04-05,Sunday,4,14,16,26,731.76,799.45,1146.77,35.1
2026-04-08,Wednesday,4,15,11,22,497.78,543.83,770.08,28.1
2026-04-09,Thursday,4,15,6,11,237.89,259.89,658.69,24.1
2026-04-10,Friday,4,15,12,21,586.79,641.07,681.94,24.3
2026-04-11,Saturday,4,15,24,47,1631.56,1782.48,863.56,29.1
2026-04-12,Sunday,4,15,14,24,913.77,998.29,886.35,27.9
2026-04-15,Wednesday,4,16,9,16,402.86,440.12,780.73,23.9
2026-04-16,Thursday,4,16,7,9,236.91,258.82,703.5,21.4
2026-04-17,Friday,4,16,11,26,541.76,591.87,710.36,22.0
2026-04-18,Saturday,4,16,25,56,1782.99,1947.92,951.51,28.4
2026-04-19,Sunday,4,16,17,22,567.78,620.3,948.54,28.6
2026-04-22,Wednesday,4,17,5,17,645.84,705.58,794.7,24.3
2026-04-23,Thursday,4,17,7,9,264.92,289.43,693.43,22.1
2026-04-24,Friday,4,17,15,24,561.76,613.72,718.23,23.3
2026-04-25,Saturday,4,17,14,30,799.75,873.73,806.08,26.3
2026-04-26,Sunday,4,17,9,17,419.84,458.68,787.05,25.0
2026-04-29,Wednesday,4,18,6,7,196.93,215.15,539.51,18.0
2026-04-30,Thursday,4,18,6,13,749.9,819.27,567.94,16.7
2026-05-01,Friday,5,18,14,29,683.23,746.43,573.77,18.4
2026-05-02,Saturday,5,18,22,38,1127.64,1231.95,708.42,22.6
2026-05-03,Sunday,5,18,11,17,427.85,467.43,687.52,21.6
2026-05-06,Wednesday,5,19,1,2,39.98,43.68,568.94,17.6
2026-05-07,Thursday,5,19,13,25,543.78,594.08,588.28,18.7
2026-05-08,Friday,5,19,6,6,210.96,230.47,590.47,18.6
2026-05-09,Saturday,5,19,16,49,1557.61,1701.69,716.53,23.7
2026-05-10,Sunday,5,19,11,16,551.85,602.9,696.03,21.9
2026-05-13,Wednesday,5,20,9,13,330.87,361.48,571.68,18.3
2026-05-14,Thursday,5,20,13,18,993.88,1085.81,660.02,18.4
2026-05-15,Friday,5,20,26,43,1310.17,1431.36,858.26,24.3
2026-05-16,Saturday,5,20,25,44,1293.67,1413.33,975.29,27.0
2026-05-17,Sunday,5,20,26,60,1626.44,1776.89,1196.21,34.7
2026-05-20,Wednesday,5,21,4,12,235.88,257.7,989.92,29.4
2026-05-21,Thursday,5,21,3,4,99.96,109.21,919.4,27.7
2026-05-22,Friday,5,21,13,31,818.76,894.5,995.54,30.3
2026-05-23,Saturday,5,21,12,18,563.83,615.98,928.42,30.3
2026-05-24,Sunday,5,21,11,16,434.84,475.06,791.81,26.4
2026-05-25,Monday,5,22,7,10,281.9,307.98,633.9,21.6
2026-05-27,Wednesday,5,22,7,12,541.91,589.72,464.31,14.7
2026-05-28,Thursday,5,22,10,17,1345.87,1468.05,637.21,15.4
2026-05-29,Friday,5,22,11,22,943.82,1031.12,768.92,18.0
2026-05-30,Saturday,5,22,15,31,896.74,979.69,781.09,18.0
2026-05-31,Sunday,5,22,12,22,508.8,553.55,772.17,18.6
2026-06-03,Wednesday,6,23,15,32,940.79,1027.81,851.13,20.9
2026-06-04,Thursday,6,23,5,6,163.94,179.1,832.72,20.3
2026-06-05,Friday,6,23,18,24,644.78,704.42,849.11,22.0
2026-06-06,Saturday,6,23,72,97,2807.07,3066.72,1077.49,33.4
2026-06-07,Sunday,6,23,6,7,275.94,301.46,973.25,31.3
2026-06-10,Wednesday,6,24,12,37,954.07,1042.32,982.2,32.1
2026-06-11,Thursday,6,24,10,21,608.82,665.14,998.14,32.0
2026-06-12,Friday,6,24,12,18,437.85,478.35,919.64,30.0
2026-06-13,Saturday,6,24,20,37,1559.72,1703.99,1137.49,34.4
2026-06-14,Sunday,6,24,9,16,400.85,437.93,1099.42,33.3
2026-06-17,Wednesday,6,25,8,11,271.42,296.52,703.67,21.0
2026-06-18,Thursday,6,25,9,13,490.89,536.3,737.22,21.9
2026-06-19,Friday,6,25,15,28,828.72,905.38,717.66,20.6
2026-06-20,Saturday,6,25,13,28,645.73,705.46,723.42,21.6
2026-06-21,Sunday,6,25,7,9,440.92,481.71,723.9,20.3
2026-06-24,Wednesday,6,26,12,41,869.2,949.6,616.13,20.9
2026-06-25,Thursday,6,26,1,1,75.0,81.94,565.27,18.7
