brand_name,product_category,units_sold,total_revenue,avg_retail_price,transactions
Coach,Accessories,21,4590.99,225.76,20
Unknown,Top,180,3811.95,21.99,154
Unknown,Dress,83,2502.82,30.99,76
Unknown,Other,56,1805.25,33.66,51
Unknown,Accessories,71,1612.82,22.74,64
Unknown,Accessories,33,1164.74,35.3,31
Unknown,Jacket/Coat,15,962.89,64.19,15
Unknown,Top,48,920.53,19.37,47
Unknown,Dress,22,916.29,42.17,19
Desigual,Jacket/Coat,6,810.98,135.16,6
Unknown,Skirt,22,528.83,24.04,22
Unknown,Shoes,9,501.92,55.77,8
Unknown,Other,22,465.79,21.17,22
Unknown,Jeans/Pants,17,411.87,24.93,15
Chloe,Accessories,1,299.0,299.0,1
Boldrini Selleria,Accessories,1,250.0,250.0,1
Unknown,Sweater/Cardigan,10,239.93,23.99,10
Unknown,Skirt,9,232.91,27.1,9
1883 by Luccheen,Shoes,1,224.99,224.99,1
Zara,Top,9,207.91,23.1,9
Harley Davidson,Top,8,206.92,25.86,7
Coach,Other,1,195.0,195.0,1
Talbots,Top,8,193.92,24.24,8
Persaman,Skirt,5,181.95,36.39,4
Lauren Ralph Lauren,Accessories,2,173.99,87.0,2
Banana Republic,Dress,7,172.93,24.7,6
Desigual,Jeans/Pants,2,171.98,85.99,2
Zara,Dress,7,167.93,23.99,7
Stella & Dot,Accessories,6,166.94,27.82,6
Banana Republic,Top,8,165.92,21.49,8
Desigual,Dress,4,163.96,40.99,4
Altar'd State,Top,8,156.92,19.61,8
Harley Davidson,Shoes,2,155.98,77.99,2
Louis Vuitton,Top,1,150.0,150.0,1
Polo Ralph Lauren,Jacket/Coat,1,150.0,150.0,1
Rafe Designer,Accessories,1,150.0,150.0,1
Timmy Woods,Accessories,1,150.0,150.0,1
Shyanne,Shoes,1,145.99,145.99,1
Unknown,Shorts,7,140.94,21.56,7
J.Crew,Skirt,6,139.95,23.32,6
Vero Cuoio,Shoes,1,135.99,135.99,1
Desigual,Skirt,3,135.97,45.32,3
Unknown,Jeans/Pants,5,135.95,27.19,5
Ann Taylor,Top,6,135.94,22.66,6
Farm Rio,Dress,1,135.0,135.0,1
Fossil,Top,3,134.98,44.99,3
Badgley Mischka,Dress,1,125.99,125.99,1
White House Black Market,Top,6,125.55,23.99,6
Desigual,Shoes,1,125.0,125.0,1
Express,Top,6,122.94,20.49,6
The Sak,Accessories,4,121.96,30.49,4
Democracy,Jeans/Pants,3,118.97,39.66,2
Karl Lagerfeld,Accessories,1,115.0,115.0,1
Free People,Top,5,114.96,22.99,5
Chico's,Jeans/Pants,2,111.98,55.99,2
Loft,Skirt,4,96.96,24.24,4
Ariat,Shoes,1,94.99,94.99,1
Banana Republic,Jeans/Pants,3,92.97,30.99,3
Unknown,Sweater/Cardigan,4,91.96,22.99,4
Unknown,Shoes,1,90.99,90.99,1
