brand_name,units_sold,total_revenue,avg_retail_price,revenue_per_unit,transaction_count,units_share_pct
Unknown,626,16850.82,27.47,26.92,448,35.1
Banana Republic,23,537.28,24.12,23.36,22,1.3
Coach,22,4785.99,224.36,217.54,21,1.2
Zara,21,487.79,23.23,23.23,21,1.2
J.Crew,18,440.83,24.49,24.49,18,1.0
Loft,16,331.84,20.74,20.74,16,0.9
Desigual,16,1407.89,87.99,87.99,16,0.9
White House Black Market,15,333.46,24.39,22.23,14,0.8
Altar'd State,14,301.86,21.56,21.56,14,0.8
Talbots,13,310.87,23.91,23.91,13,0.7
Ann Taylor,13,326.87,25.14,25.14,13,0.7
Harley Davidson,11,395.89,35.99,35.99,10,0.6
Express,11,233.89,21.26,21.26,11,0.6
Free People,10,260.91,26.09,26.09,10,0.6
Urban Outfitters,9,220.91,24.55,24.55,9,0.5
Nine West,9,208.91,24.55,23.21,9,0.5
Chico's,8,255.92,31.99,31.99,8,0.4
Persaman,7,272.93,38.99,38.99,6,0.4
BCBG Maxazria,7,180.93,25.85,25.85,7,0.4
The Limited,6,126.95,21.16,21.16,6,0.3
