date,hour,month,day_of_week,week_num,receipt_number,sku,details,brand_name,product_category,size,quantity,subtotal,sales_tax,total,retail_price,has_discount
2026-05-24,11,5,Sunday,21,575,10008164,Red Halter Bra / Size S,Unknown,Top,S,1.0,13.99,1.29408,15.28408,13.99,False
2026-05-24,11,5,Sunday,21,575,10008546,VintagePamelaF/RedStitchSkirt/Size6,Pamela Ferrari,Skirt,6,1.0,75.99,7.02908,83.01908,75.99,False
2026-05-24,11,5,Sunday,21,574,10004532,Maurizio Floral Long Clutch,Maurizio Taiuti,Accessories,,1.0,22.99,2.12658,25.11658,22.99,False
2026-05-24,11,5,Sunday,21,574,10004121,Grey Kiss Tee/Size S,Recycled Karma,Top,S,1.0,25.99,2.40408,28.39408,25.99,False
2026-05-23,19,5,Saturday,21,573,10003375,Unknown White Camisole Size M,Unknown,Top,M,1.0,14.99,1.38658,16.37658,14.99,False
2026-05-23,19,5,Saturday,21,572,10008666,Black lace coverall  OSFM,,Other,,1.0,12.99,1.20158,14.19158,12.99,False
2026-05-23,16,5,Saturday,21,571,10008605,SilverGoldBracelet,Unknown,Accessories,,1.0,10.99,1.01658,12.00658,10.99,True
2026-05-23,16,5,Saturday,21,571,10008292,HelloFranki/Blue&WhiTop/SizeL,Hello Franki,Other,L,1.0,14.99,1.38658,16.37658,14.99,True
2026-05-23,16,5,Saturday,21,571,10008316,JacquelineF/BrownCrossBag,Jacqueline Ferrar,Top,,1.0,7.99,0.73908,8.72908,7.99,True
2026-05-23,16,5,Saturday,21,571,10008337,Abercrombie/GryTanHalterTop/SizeM,Abercrombie & Fitch,Top,M,1.0,14.99,1.38658,16.37658,14.99,True
2026-05-23,16,5,Saturday,21,570,10007934,Sonoma RWB Woven Purse,Sonoma,Accessories,,1.0,18.99,1.75658,20.74658,18.99,True
2026-05-23,16,5,Saturday,21,569,10007928,Ande Black Purse Gold Hardware,Ande,Accessories,,1.0,12.99,1.20158,14.19158,12.99,False
2026-05-23,15,5,Saturday,21,568,10006011,Mystree/BrwnStripeSweater/SizeS,Mystree,Sweater/Cardigan,S,1.0,55.99,5.17908,61.16908,55.99,False
2026-05-23,15,5,Saturday,21,567,10008470,Ann Taylor Yellow/White Top S,,Top,,1.0,24.99,2.31158,27.30158,24.99,False
2026-05-23,15,5,Saturday,21,567,10008140,eyeshadow creme lace vest/s,Eyeshadow,Top,S,1.0,18.99,1.75658,20.74658,18.99,False
2026-05-23,15,5,Saturday,21,567,10005828,EM Mustard Yellow Top/Size S,Em,Top,S,1.0,24.99,2.31158,27.30158,24.99,False
2026-05-23,15,5,Saturday,21,567,10008433,Multicolor Bead Earrings,,Accessories,,1.0,19.99,1.84908,21.83908,19.99,False
2026-05-23,14,5,Saturday,21,566,10007718,R & K Yellow Pant Top Set / Size 10,R X K,Jeans/Pants,10,1.0,32.99,3.05158,36.04158,32.99,False
2026-05-23,12,5,Saturday,21,565,10007285,FP One Cami Dress Size XS,,Dress,XS,1.0,21.99,2.03408,24.02408,21.99,False
2026-05-23,12,5,Saturday,21,564,10008566,MulicolStripSweater/SizeM,Unknown,Sweater/Cardigan,M,1.0,24.99,2.31158,27.30158,24.99,False
2026-05-23,12,5,Saturday,21,563,10003735,cpck&cash/rvs bmb jkt/blk/m,Cupcakes&Cashews,Jacket/Coat,M,1.0,29.99,2.77408,32.76408,29.99,False
2026-05-23,12,5,Saturday,21,562,10007595,Desigual/RedPatternJacket/Size40/US6,Desigual,Jacket/Coat,40,1.0,200.0,18.5,218.5,200.0,False
2026-05-22,19,5,Friday,21,560,10008548,AsosDesign/PnkOrFloralSkirt/Size2,Asos Design,Skirt,2,1.0,28.99,2.68158,31.67158,28.99,False
2026-05-22,19,5,Friday,21,560,10008172,Reformed B & W Floral Skirt / Size 6,Reformed,Skirt,6,1.0,19.99,1.84908,21.83908,19.99,False
2026-05-22,19,5,Friday,21,560,10007751,Fossil/PinkDotDress/SizeXS,Fossil,Dress,XS,1.0,28.99,2.68158,31.67158,28.99,False
2026-05-22,19,5,Friday,21,561,10002392,Paul McCartneyTee Shirt_SO / White / L / 13.01,Paul McCartney,Top,,1.0,29.99,2.77408,32.76408,29.99,False
2026-05-22,19,5,Friday,21,561,10008328,BrooksBros/StripeCollarDress/SizeL,Brooks Brothers,Dress,L,1.0,29.99,2.77408,32.76408,29.99,False
2026-05-22,19,5,Friday,21,559,10007468,London Times Blue White SL Dress / Size 8,London Times,Dress,8,1.0,29.99,2.77408,32.76408,29.99,True
2026-05-22,19,5,Friday,21,558,10007143,WHBM White Dress/Size 6,Whbm,Dress,6,1.0,18.99,1.75658,20.74658,18.99,False
2026-05-22,19,5,Friday,21,558,10005597,Altar'd State Lace SL Blouse / Size M,Altar'd State,Top,M,1.0,19.99,1.84908,21.83908,19.99,False
2026-05-22,19,5,Friday,21,557,10003408,L.S. Dunes Tee Shirt Beige Size S,L.S. Dunes,Top,S,1.0,26.99,2.49658,29.48658,26.99,False
2026-05-22,19,5,Friday,21,557,10007180,J. Crew Top Beige Size M,,Top,M,1.0,23.99,2.21908,26.20908,23.99,False
2026-05-22,19,5,Friday,21,557,10005340,Tryst/Blk&BlueTankTop/SizeS,Tryst,Top,S,1.0,14.99,1.38658,16.37658,14.99,False
2026-05-22,19,5,Friday,21,557,10008188,WHBM Burgundy Design SL Top / Size S,White House Black Market,Top,S,1.0,22.99,2.12658,25.11658,22.99,False
2026-05-22,19,5,Friday,21,557,10005584,The Limited Off White Tank Blouse/Size XL,The Limited,Top,XL,1.0,18.0,1.665,19.665,18.0,False
2026-05-22,19,5,Friday,21,557,10008343,GradeXG/WhiBlouse/SizeM,Grade X Gather,Top,M,1.0,21.99,2.03408,24.02408,21.99,False
2026-05-22,19,5,Friday,21,557,10008461,Loft Black/White Top M,,Top,,1.0,16.99,1.57158,18.56158,16.99,False
2026-05-22,17,5,Friday,21,556,10004791,Green Leather Belt,Unknown,Accessories,,1.0,15.99,1.47908,17.46908,15.99,False
2026-05-22,17,5,Friday,21,555,10007957,Unknown Lt Grey LS Top M,,Top,,1.0,13.0,1.2025,14.2025,13.0,False
2026-05-22,16,5,Friday,21,554,10006880,BlackPantwBows/SizeS,Unknown,Jeans/Pants,S,1.0,29.99,2.77408,32.76408,29.99,False
2026-05-22,16,5,Friday,21,554,10007974,Vince Camuto SS Top Pink L,,Top,,1.0,22.0,2.035,24.035,22.0,False
2026-05-22,16,5,Friday,21,553,10004548,Leather Fringe Dress / Size S,,Dress,S,1.0,135.0,12.4875,147.4875,135.0,False
