receipt_number,date,day_of_week,month,basket_size,order_subtotal,order_total,basket_category
4,2026-02-26,Thursday,2,2,77.98,85.19,2 items
5,2026-03-26,Thursday,3,1,14.99,16.38,1 item
7,2026-03-28,Saturday,3,2,53.98,58.97,2 items
8,2026-03-28,Saturday,3,2,54.98,60.07,2 items
9,2026-03-28,Saturday,3,1,15.99,17.47,1 item
10,2026-03-28,Saturday,3,1,23.99,26.21,1 item
11,2026-03-28,Saturday,3,1,19.99,21.84,1 item
12,2026-03-28,Saturday,3,1,45.99,50.24,1 item
13,2026-03-28,Saturday,3,1,45.99,50.24,1 item
14,2026-03-28,Saturday,3,6,290.94,317.85,6+ items
15,2026-03-28,Saturday,3,2,54.98,60.07,2 items
16,2026-03-28,Saturday,3,1,125.0,136.56,1 item
17,2026-03-28,Saturday,3,1,45.99,50.24,1 item
18,2026-03-28,Saturday,3,1,26.99,29.49,1 item
19,2026-03-28,Saturday,3,1,19.99,21.84,1 item
20,2026-03-28,Saturday,3,1,25.99,28.39,1 item
21,2026-03-28,Saturday,3,3,67.97,74.26,3 items
22,2026-03-28,Saturday,3,2,61.98,67.71,2 items
23,2026-03-28,Saturday,3,1,300.0,327.75,1 item
24,2026-03-28,Saturday,3,2,47.98,52.42,2 items
25,2026-03-28,Saturday,3,1,22.99,25.12,1 item
26,2026-03-28,Saturday,3,5,196.95,215.17,4–5 items
27,2026-03-28,Saturday,3,1,15.99,17.47,1 item
28,2026-03-28,Saturday,3,1,55.99,61.17,1 item
29,2026-03-28,Saturday,3,3,72.97,79.72,3 items
30,2026-03-28,Saturday,3,1,25.99,28.39,1 item
31,2026-03-28,Saturday,3,1,22.99,25.12,1 item
32,2026-03-28,Saturday,3,1,32.99,36.04,1 item
33,2026-03-28,Saturday,3,2,32.98,36.03,2 items
34,2026-03-28,Saturday,3,1,21.99,24.02,1 item
35,2026-03-28,Saturday,3,2,57.98,63.34,2 items
36,2026-03-28,Saturday,3,1,15.99,17.47,1 item
37,2026-03-28,Saturday,3,1,175.0,191.19,1 item
38,2026-03-28,Saturday,3,1,24.99,27.3,1 item
39,2026-03-28,Saturday,3,2,57.98,63.34,2 items
40,2026-03-28,Saturday,3,2,35.98,39.31,2 items
41,2026-03-28,Saturday,3,1,45.99,50.24,1 item
42,2026-03-28,Saturday,3,1,17.99,19.65,1 item
43,2026-03-28,Saturday,3,1,17.99,19.65,1 item
44,2026-03-29,Sunday,3,1,19.99,21.84,1 item
45,2026-03-29,Sunday,3,1,18.99,20.75,1 item
46,2026-03-29,Sunday,3,1,15.99,17.47,1 item
47,2026-03-29,Sunday,3,2,41.98,45.86,2 items
48,2026-03-29,Sunday,3,1,27.99,30.58,1 item
49,2026-03-29,Sunday,3,3,75.97,83.0,3 items
50,2026-03-29,Sunday,3,3,81.97,89.55,3 items
51,2026-03-29,Sunday,3,1,21.99,24.02,1 item
52,2026-03-29,Sunday,3,1,22.99,25.12,1 item
53,2026-03-29,Sunday,3,1,18.99,20.75,1 item
54,2026-03-29,Sunday,3,4,94.96,103.74,4–5 items
55,2026-03-29,Sunday,3,1,32.99,36.04,1 item
56,2026-03-29,Sunday,3,1,22.99,25.12,1 item
57,2026-03-29,Sunday,3,3,81.97,89.55,3 items
58,2026-03-29,Sunday,3,4,47.96,52.4,4–5 items
